"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2001","1,366.00","1,320.30","1,383.40","1,274.60","","3.46%"
"12/01/2000","1,320.30","1,315.00","1,389.00","1,254.10","","0.40%"
"11/01/2000","1,315.00","1,429.40","1,438.50","1,294.90","","-8.00%"
"10/01/2000","1,429.40","1,436.50","1,454.80","1,305.80","","-0.49%"
"09/01/2000","1,436.50","1,517.70","1,530.00","1,419.50","","-5.35%"
"08/01/2000","1,517.70","1,430.80","1,525.30","1,426.00","","6.07%"
"07/01/2000","1,430.80","1,454.60","1,517.20","1,414.20","","-1.64%"
"06/01/2000","1,454.60","1,420.60","1,489.00","1,420.60","","2.39%"
"05/01/2000","1,420.60","1,452.40","1,481.40","1,361.20","","-2.19%"
"04/01/2000","1,452.40","1,498.60","1,527.10","1,339.40","","-3.08%"
"03/01/2000","1,498.60","1,366.40","1,553.10","1,346.50","","9.68%"
"02/01/2000","1,366.40","1,394.50","1,444.40","1,325.00","","-2.02%"
"01/01/2000","1,394.50","1,469.20","1,478.00","1,350.00","","-5.08%"
"12/01/1999","1,469.20","1,388.90","1,473.10","1,387.50","","5.78%"
"11/01/1999","1,388.90","1,362.90","1,425.30","1,346.40","","1.91%"
"10/01/1999","1,362.90","1,282.70","1,373.20","1,233.70","","6.25%"
"09/01/1999","1,282.70","1,320.40","1,361.30","1,256.30","","-2.86%"
"08/01/1999","1,320.40","1,328.70","1,382.80","1,267.70","","-0.62%"
"07/01/1999","1,328.70","1,372.70","1,420.30","1,328.50","","-3.21%"
"06/01/1999","1,372.70","1,301.80","1,372.90","1,277.50","","5.45%"
"05/01/1999","1,301.80","1,335.20","1,376.00","1,277.30","","-2.50%"
"04/01/1999","1,335.20","1,286.40","1,371.60","1,282.60","","3.79%"
"03/01/1999","1,286.40","1,238.30","1,323.80","1,216.00","","3.88%"
"02/01/1999","1,238.30","1,279.60","1,283.80","1,211.90","","-3.23%"
"01/01/1999","1,279.60","1,229.20","1,280.40","1,205.50","","4.10%"
"12/01/1998","1,229.20","1,163.60","1,244.90","1,136.90","","5.64%"
"11/01/1998","1,163.60","1,098.70","1,193.00","1,098.70","","5.91%"
"10/01/1998","1,098.70","1,017.00","1,103.80","923.30","","8.03%"
"09/01/1998","1,017.00","957.30","1,066.10","940.00","","6.24%"
"08/01/1998","957.30","1,120.70","1,121.80","957.30","","-14.58%"
"07/01/1998","1,120.70","1,133.80","1,190.60","1,114.30","","-1.16%"
"06/01/1998","1,133.80","1,090.80","1,145.20","1,074.70","","3.94%"
"05/01/1998","1,090.80","1,111.80","1,130.50","1,074.40","","-1.89%"
"04/01/1998","1,111.80","1,101.80","1,133.00","1,076.70","","0.91%"
"03/01/1998","1,101.80","1,049.30","1,113.10","1,030.90","","5.00%"
"02/01/1998","1,049.30","980.30","1,051.70","980.30","","7.04%"
"01/01/1998","980.30","970.40","992.60","912.80","","1.02%"
"12/01/1997","970.40","955.40","986.20","924.90","","1.57%"
"11/01/1997","955.40","914.60","964.50","900.60","","4.46%"
"10/01/1997","914.60","950.90","983.10","855.30","","-3.45%"
"09/01/1997","947.30","899.50","960.60","899.50","","5.31%"
"08/01/1997","899.50","954.30","964.20","893.30","","-5.74%"
"07/01/1997","954.30","885.10","957.70","884.50","","7.82%"
"06/01/1997","885.10","848.30","902.10","838.80","","4.34%"
"05/01/1997","848.30","801.30","851.90","793.20","","5.87%"
"04/01/1997","801.30","757.10","804.10","733.50","","5.84%"
"03/01/1997","757.10","790.80","814.90","756.10","","-4.26%"
"02/01/1997","790.80","786.20","817.70","773.40","","0.59%"
"01/01/1997","786.20","740.70","794.70","729.50","","6.14%"
"12/01/1996","740.70","757.00","761.80","716.70","","-2.15%"
"11/01/1996","757.00","705.30","762.10","701.30","","7.33%"
"10/01/1996","705.30","687.30","714.10","684.40","","2.62%"
"09/01/1996","687.30","652.00","690.90","644.00","","5.41%"
"08/01/1996","652.00","640.00","670.70","639.50","","1.88%"
"07/01/1996","640.00","670.60","675.90","605.90","","-4.56%"
"06/01/1996","670.60","669.10","680.30","658.80","","0.22%"
"05/01/1996","669.10","654.20","681.10","630.10","","2.28%"
"04/01/1996","654.20","645.50","656.70","624.10","","1.35%"
"03/01/1996","645.50","640.40","657.00","627.60","","0.80%"
"02/01/1996","640.40","636.00","664.20","633.70","","0.69%"
"01/01/1996","636.00","615.90","636.20","597.30","","3.26%"
"12/01/1995","615.90","605.40","622.90","605.00","","1.73%"
"11/01/1995","605.40","581.50","608.70","581.00","","4.11%"
"10/01/1995","581.50","584.40","590.70","571.50","","-0.50%"
"09/01/1995","584.40","561.90","587.60","561.00","","4.00%"
"08/01/1995","561.90","562.10","565.60","553.00","","-0.04%"
"07/01/1995","562.10","544.80","565.40","542.50","","3.18%"
"06/01/1995","544.80","533.40","551.10","526.00","","2.14%"
"05/01/1995","533.40","514.80","533.40","513.00","","3.63%"
"04/01/1995","514.70","500.70","515.30","500.20","","2.80%"
"03/01/1995","500.70","487.40","508.10","479.70","","2.73%"
"02/01/1995","487.40","470.40","489.20","469.30","","3.61%"
"01/01/1995","470.40","459.20","471.40","457.20","","2.42%"
"12/01/1994","459.30","453.60","462.70","442.90","","1.23%"
"11/01/1994","453.70","472.30","472.30","444.20","","-3.96%"
"10/01/1994","472.40","462.70","474.70","449.30","","2.10%"
"09/01/1994","462.70","475.50","475.50","458.50","","-2.69%"
"08/01/1994","475.50","458.30","477.60","456.10","","3.75%"
"07/01/1994","458.30","444.30","459.30","443.60","","3.15%"
"06/01/1994","444.30","456.50","463.20","439.80","","-2.67%"
"05/01/1994","456.50","450.90","457.80","440.80","","1.24%"
"04/01/1994","450.90","445.70","452.80","435.90","","1.14%"
"03/01/1994","445.80","467.20","471.10","436.20","","-4.56%"
"02/01/1994","467.10","481.60","482.20","464.30","","-3.01%"
"01/01/1994","481.60","466.50","482.90","464.40","","3.26%"
"12/01/1993","466.40","461.90","471.30","461.40","","1.00%"
"11/01/1993","461.80","467.80","469.10","454.40","","-1.28%"
"10/01/1993","467.80","458.90","471.10","456.40","","1.94%"
"09/01/1993","458.90","463.60","463.80","449.60","","-1.01%"
